Experiment,Condition,Labeling Protocol,Labeling Target,RMS,Normalized RMS,D,Normalized D
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1385104,0.718483322,2.390689582,0.89275814
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15852727,0.822315144,2.516607329,0.939779758
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21878463,1.134883068,2.784232018,1.039719174
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21423335,1.111274597,2.77005455,1.034424865
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17548843,0.91029634,2.61000312,0.974656663
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19109914,0.99127246,2.683376364,1.002056523
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2051748,1.064285944,2.73911833,1.022872314
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1993871,1.034263896,2.717362204,1.014747897
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1635848,0.848549643,2.54587758,0.950710184
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18695268,0.969763877,2.665089179,0.995227518
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17537448,0.909705256,2.609422285,0.974439761
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17353968,0.900187753,2.599980432,0.970913878
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1598932,0.829400518,2.524625779,0.942774098
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22515348,1.167919667,2.802625719,1.046587956
